Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,4545.570801,4545.570801,4317.713867,4414.500000,4414.500000,27552200
2020-03-31,4414.500000,4569.473145,4414.500000,4538.930176,4538.930176,43426600
2020-04-01,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109,41848000
2020-04-02,4466.037109,4531.685059,4393.668945,4531.685059,4531.685059,46011500
2020-04-03,4531.685059,4623.429199,4531.685059,4623.429199,4623.429199,58684300
2020-04-06,4623.429199,4811.827148,4623.429199,4811.827148,4811.827148,70452900
2020-04-07,4811.827148,4975.536133,4721.721191,4778.639160,4778.639160,86224800
2020-04-08,4778.639160,4780.214844,4583.900879,4626.694824,4626.694824,45557700
2020-04-09,4626.694824,4669.709961,4562.901855,4649.079102,4649.079102,53523100
2020-04-13,4649.079102,4659.029785,4591.728027,4623.894043,4623.894043,45586600
2020-04-14,4623.894043,4706.491211,4623.894043,4706.491211,4706.491211,55226400
2020-04-15,4706.491211,4747.725098,4605.054199,4625.904785,4625.904785,63059600
2020-04-16,4480.606934,4480.606934,4480.606934,4480.606934,4480.606934,0
2020-04-17,4480.606934,4637.242188,4480.606934,4634.820801,4634.820801,54547300
2020-04-20,4634.820801,4669.541992,4573.773926,4575.904785,4575.904785,52113500
2020-04-21,4575.904785,4575.904785,4482.639160,4501.918945,4501.918945,42328500
2020-04-22,4501.918945,4580.680176,4441.089844,4567.562012,4567.562012,48368900
2020-04-23,4567.562012,4629.025879,4567.562012,4593.554199,4593.554199,49463700
2020-04-24,4593.554199,4593.830078,4496.063965,4496.063965,4496.063965,46122600
2020-04-27,4496.063965,4541.312012,4474.893066,4513.141113,4513.141113,36774700
2020-04-28,4513.141113,4532.378906,4494.470215,4529.554199,4529.554199,45440500
2020-04-29,4529.554199,4568.665039,4523.955078,4567.323242,4567.323242,41461800
2020-04-30,4567.323242,4726.773926,4567.323242,4716.402832,4716.402832,60229700
2020-05-04,4716.402832,4716.402832,4576.228027,4605.486816,4605.486816,39084200
2020-05-05,4605.486816,4667.786133,4605.486816,4630.132813,4630.132813,47829500
2020-05-06,4630.132813,4647.524902,4597.750977,4608.790039,4608.790039,45079300
2020-05-08,4608.790039,4630.588867,4586.738770,4597.430176,4597.430176,47798700
2020-05-11,4597.430176,4659.861816,4597.430176,4639.104980,4639.104980,45461000
2020-05-12,4639.104980,4644.134766,4552.387207,4588.733887,4588.733887,46906900
2020-05-13,4588.733887,4588.733887,4519.978027,4554.358887,4554.358887,45092300
2020-05-14,4554.358887,4564.149902,4494.153809,4513.833984,4513.833984,47342600
2020-05-15,4513.833984,4540.420898,4460.272949,4507.606934,4507.606934,46257200
2020-05-18,4507.606934,4527.967773,4487.179199,4511.058105,4511.058105,45156900
2020-05-19,4511.058105,4609.041992,4511.058105,4548.655762,4548.655762,51665300
2020-05-20,4548.655762,4561.554199,4521.470215,4545.952148,4545.952148,42464800
2020-05-26,4545.952148,4634.652832,4541.833984,4626.798828,4626.798828,53757500
2020-05-27,4626.798828,4641.555176,4597.372070,4641.555176,4641.555176,60985400
2020-05-28,4641.555176,4741.603027,4638.808105,4716.185059,4716.185059,68549600
2020-05-29,4716.185059,4755.957031,4704.788086,4753.611816,4753.611816,104791300
2020-06-02,4753.611816,4884.011230,4753.611816,4847.506836,4847.506836,73135500
2020-06-03,4847.506836,4960.070801,4847.506836,4941.005859,4941.005859,101631500
2020-06-04,4941.005859,5014.764160,4899.390137,4916.704102,4916.704102,110933800
2020-06-05,4916.704102,4948.512207,4851.148926,4947.782227,4947.782227,86864800
2020-06-08,4947.782227,5103.085938,4947.782227,5070.561035,5070.561035,138169200
2020-06-09,5070.561035,5139.405762,5023.767090,5035.055176,5035.055176,115140600
2020-06-10,5035.055176,5036.855957,4892.817871,4920.682129,4920.682129,84234700
2020-06-11,4920.682129,4931.242188,4812.192871,4854.753906,4854.753906,71655200
2020-06-12,4854.753906,4880.358887,4712.073242,4880.358887,4880.358887,80885000
2020-06-15,4880.358887,4918.056152,4809.619141,4816.335938,4816.335938,64138400
2020-06-16,4816.335938,4989.526855,4816.335938,4986.458008,4986.458008,75836700
2020-06-17,4986.458008,5018.984863,4968.925781,4987.775879,4987.775879,68366200
2020-06-18,4987.775879,4993.613770,4925.248047,4925.248047,4925.248047,70877500
2020-06-19,4925.248047,4970.066895,4925.248047,4942.274902,4942.274902,57556700
2020-06-22,4942.274902,4957.666016,4904.766113,4918.831055,4918.831055,47869800
2020-06-23,4918.831055,4938.394043,4879.132813,4879.132813,4879.132813,54884300
2020-06-24,4879.132813,4977.650879,4879.132813,4964.734863,4964.734863,62466500
2020-06-25,4964.734863,4964.734863,4883.709961,4896.729980,4896.729980,50705900
2020-06-26,4896.729980,4941.138184,4882.141113,4904.087891,4904.087891,44280300
2020-06-29,4904.087891,4909.905762,4862.041016,4901.817871,4901.817871,44174500
2020-06-30,4901.817871,4939.839844,4894.120117,4905.392090,4905.392090,51279100
2020-07-01,4905.392090,4928.611816,4885.602051,4914.388184,4914.388184,43243400
2020-07-02,4914.388184,4966.779785,4914.388184,4966.779785,4966.779785,55396200
2020-07-03,4966.779785,4997.481934,4964.107910,4973.793945,4973.793945,55723400
2020-07-06,4973.793945,5009.345215,4973.490234,4988.866211,4988.866211,64282100
2020-07-07,4988.866211,5011.712891,4982.333984,4987.082031,4987.082031,72834600
2020-07-08,4987.082031,5080.251953,4985.017090,5076.173828,5076.173828,73499000
2020-07-09,5076.173828,5111.563965,5041.930176,5052.793945,5052.793945,79794300
2020-07-10,5052.793945,5076.520996,5022.169922,5031.255859,5031.255859,67684500
2020-07-13,5031.255859,5075.098145,5024.934082,5064.446777,5064.446777,65331900
2020-07-14,5064.446777,5079.122070,5053.722168,5079.122070,5079.122070,71530500
2020-07-15,5079.122070,5116.463867,5069.380859,5075.797852,5075.797852,82580500
2020-07-16,5075.797852,5107.259766,5075.797852,5098.374023,5098.374023,68710400
2020-07-17,5098.374023,5110.430176,5073.557129,5079.584961,5079.584961,61709100
2020-07-20,5079.584961,5100.191895,5031.888184,5051.105957,5051.105957,68632100
2020-07-21,5051.105957,5135.559082,5047.085938,5114.708984,5114.708984,83156800
2020-07-22,5114.708984,5142.043945,5099.566895,5110.187012,5110.187012,79454100
2020-07-23,5110.220215,5162.979980,5110.220215,5145.009766,5145.009766,98800000
2020-07-24,5145.011230,5149.589844,5074.492188,5082.991211,5082.991211,97013800
2020-07-27,5082.991211,5116.666016,5080.121094,5116.666016,5116.666016,103523300
2020-07-28,5116.666016,5143.286133,5097.418945,5112.988770,5112.988770,91890400
